time_s,temp_c,time_min,rolling_avg,rate_of_change
356.59,41.31,5.943,41.265,0.0
357.87,41.31,5.964,41.271,0.0
359.15,41.31,5.986,41.274,0.0
360.44,41.31,6.007,41.277,0.0
361.72,41.31,6.029,41.28,0.0
363.0,41.38,6.05,41.287,0.055
364.29,41.38,6.072,41.293,0.0
365.57,41.38,6.093,41.3,0.0
366.85,41.38,6.114,41.306,0.0
368.15,41.38,6.136,41.312,0.0
369.42,41.38,6.157,41.319,0.0
370.7,41.38,6.178,41.326,0.0
371.99,41.38,6.2,41.332,0.0
373.27,41.44,6.221,41.342,0.047
374.56,41.44,6.243,41.351,0.0
375.84,41.44,6.264,41.358,0.0
377.12,41.44,6.285,41.364,0.0
378.4,41.44,6.307,41.371,0.0
379.69,41.5,6.328,41.38,0.047
380.97,41.5,6.35,41.39,0.0
382.26,41.5,6.371,41.399,0.0
383.54,41.5,6.392,41.408,0.0
384.82,41.5,6.414,41.418,0.0
386.11,41.5,6.435,41.428,0.0
387.39,41.5,6.456,41.437,0.0
388.67,41.5,6.478,41.443,0.0
389.96,41.56,6.499,41.452,0.047
391.24,41.5,6.521,41.458,-0.047
392.52,41.56,6.542,41.467,0.047
393.81,41.56,6.564,41.476,0.0
395.09,41.56,6.585,41.485,0.0
396.39,41.56,6.606,41.494,0.0
397.66,41.56,6.628,41.503,0.0
398.95,41.56,6.649,41.509,0.0
400.22,41.56,6.67,41.515,0.0
401.51,41.63,6.692,41.524,0.054
402.79,41.63,6.713,41.534,0.0
404.07,41.63,6.734,41.544,0.0
405.36,41.63,6.756,41.55,0.0
406.64,41.63,6.777,41.556,0.0
407.92,41.63,6.799,41.563,0.0
409.21,41.69,6.82,41.573,0.047
410.49,41.69,6.842,41.582,0.0
411.77,41.63,6.863,41.588,-0.047
413.06,41.69,6.884,41.598,0.047
414.34,41.69,6.906,41.608,0.0
415.62,41.69,6.927,41.614,0.0
416.91,41.69,6.948,41.624,0.0
418.19,41.69,6.97,41.63,0.0
419.48,41.69,6.991,41.636,0.0
420.76,41.75,7.013,41.646,0.047
422.04,41.75,7.034,41.656,0.0
423.33,41.75,7.055,41.665,0.0
424.61,41.75,7.077,41.674,0.0
425.89,41.75,7.098,41.684,0.0
427.18,41.75,7.12,41.69,0.0
428.46,41.75,7.141,41.696,0.0
429.74,41.75,7.162,41.702,0.0
431.03,41.75,7.184,41.708,0.0
432.31,41.75,7.205,41.714,0.0
433.59,41.81,7.226,41.723,0.047
434.88,41.81,7.248,41.729,0.0
436.16,41.81,7.269,41.735,0.0
437.44,41.75,7.291,41.741,-0.047
438.73,41.81,7.312,41.747,0.047
440.01,41.81,7.334,41.753,0.0
441.29,41.81,7.355,41.759,0.0
442.58,41.88,7.376,41.768,0.054
443.86,41.81,7.398,41.774,-0.055
445.14,41.88,7.419,41.784,0.055
446.43,41.88,7.44,41.79,0.0
447.71,41.88,7.462,41.797,0.0
448.99,41.88,7.483,41.804,0.0
450.28,41.88,7.505,41.81,0.0
451.56,41.94,7.526,41.82,0.047
452.84,41.88,7.547,41.826,-0.047
454.13,41.94,7.569,41.836,0.047
455.41,41.94,7.59,41.845,0.0
456.69,41.94,7.612,41.854,0.0
457.98,41.94,7.633,41.864,0.0
459.26,41.94,7.654,41.87,0.0
460.54,41.94,7.676,41.877,0.0
461.83,41.94,7.697,41.884,0.0
463.11,42.0,7.719,41.896,0.047
464.39,41.94,7.74,41.902,-0.047
465.68,42.0,7.761,41.912,0.047
466.96,42.0,7.783,41.922,0.0
468.25,42.0,7.804,41.928,0.0
469.53,42.0,7.826,41.937,0.0
470.81,42.0,7.847,41.943,0.0
472.09,42.0,7.868,41.949,0.0
473.38,42.06,7.89,41.958,0.047
474.66,42.06,7.911,41.967,0.0
475.94,42.0,7.932,41.973,-0.047
477.23,42.06,7.954,41.979,0.047
478.51,42.06,7.975,41.988,0.0
479.8,42.06,7.997,41.994,0.0
481.08,42.06,8.018,42.0,0.0
482.36,42.06,8.039,42.006,0.0
483.65,42.06,8.061,42.012,0.0
484.93,42.13,8.082,42.022,0.055
486.21,42.13,8.104,42.031,0.0
487.5,42.13,8.125,42.04,0.0
488.78,42.13,8.146,42.047,0.0
490.06,42.13,8.168,42.056,0.0
491.35,42.13,8.189,42.063,0.0
492.63,42.13,8.21,42.07,0.0
493.91,42.13,8.232,42.076,0.0
495.2,42.13,8.253,42.082,0.0
496.48,42.19,8.275,42.092,0.047
497.76,42.19,8.296,42.102,0.0
499.05,42.19,8.318,42.108,0.0
500.33,42.19,8.339,42.114,0.0
501.61,42.19,8.36,42.124,0.0
502.9,42.19,8.382,42.13,0.0
504.18,42.19,8.403,42.137,0.0
505.46,42.19,8.424,42.144,0.0
506.75,42.19,8.446,42.15,0.0
