Time [s],Temperature [°C]
739.05,42.63
740.33,42.63
741.61,42.63
742.9,42.63
744.18,42.63
745.46,42.63
746.75,42.63
748.03,42.63
749.31,42.63
750.6,42.63
751.88,42.63
753.16,42.63
754.45,42.63
755.73,42.63
757.02,42.63
758.3,42.63
759.58,42.69
760.87,42.69
762.15,42.63
763.43,42.63
764.72,42.63
766.0,42.56
767.28,42.63
768.57,42.56
769.85,42.63
771.13,42.56
772.42,42.56
773.7,42.56
774.98,42.56
776.27,42.56
777.55,42.56
778.83,42.5
780.12,42.56
781.4,42.56
782.68,42.5
783.97,42.56
785.25,42.56
786.53,42.5
787.82,42.5
789.1,42.5
790.38,42.56
791.67,42.5
792.95,42.5
794.23,42.5
795.52,42.5
796.8,42.5
798.08,42.5
799.37,42.5
800.65,42.5
801.93,42.5
803.22,42.5
804.5,42.5
805.79,42.5
807.07,42.5
808.35,42.5
809.63,42.5
810.92,42.5
812.2,42.5
813.5,42.5
814.77,42.5
816.05,42.5
817.34,42.5
818.62,42.5
819.9,42.5
821.19,42.5
822.47,42.5
823.75,42.5
825.04,42.5
826.32,42.44
827.6,42.44
828.89,42.44
830.17,42.44
831.45,42.5
832.74,42.44
834.02,42.5
835.3,42.5
836.59,42.5
837.87,42.5
839.15,42.5
840.44,42.44
841.72,42.5
843.0,42.5
844.29,42.5
845.57,42.5
846.86,42.5
848.14,42.5
849.42,42.5
850.71,42.5
851.99,42.5
853.27,42.5
854.55,42.5
855.84,42.5
857.13,42.5
858.41,42.5
859.69,42.5
860.97,42.5
862.26,42.5
863.54,42.56
864.82,42.5
866.11,42.56
867.39,42.56
868.67,42.56
869.96,42.56
871.24,42.56
872.52,42.56
873.81,42.56
875.09,42.56
876.37,42.56
877.66,42.56
878.94,42.63
880.22,42.56
881.51,42.56
882.79,42.56
884.07,42.56
885.36,42.63
886.64,42.63
887.92,42.63
889.21,42.63
